"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"Central carbon metabolism in cancer",100,1860,4,0,1,"",1
"Chemical carcinogenesis",100,1860,2,0,1,"",1
"Choline metabolism in cancer",100,1860,17,0,1,"",1
"Circadian entrainment",100,1860,11,0,1,"",1
"Circadian rhythm",100,1860,5,0,1,"",1
"Cocaine addiction",100,1860,2,0,1,"",1
"Colorectal cancer",100,1860,14,0,1,"",1
"Complement and coagulation cascades",100,1860,4,0,1,"",1
"Cortisol synthesis and secretion",100,1860,3,0,1,"",1
"Cushing syndrome",100,1860,10,0,1,"",1
"Cysteine and methionine metabolism",100,1860,3,0,1,"",1
"Cytosolic DNA-sensing pathway",100,1860,5,0,1,"",1
"DNA replication",100,1860,1,0,1,"",1
"Dilated cardiomyopathy (DCM)",100,1860,11,0,1,"",1
"Dopaminergic synapse",100,1860,18,0,1,"",1
"Drug metabolism",100,1860,6,0,1,"",1
"ECM-receptor interaction",100,1860,6,0,1,"",1
"Endometrial cancer",100,1860,7,0,1,"",1
"Epstein-Barr virus infection",100,1860,18,0,1,"",1
"ErbB signaling pathway",100,1860,15,0,1,"",1
"Estrogen signaling pathway",100,1860,14,0,1,"",1
"Ether lipid metabolism",100,1860,5,0,1,"",1
"Fanconi anemia pathway",100,1860,5,0,1,"",1
"Fat digestion and absorption",100,1860,1,0,1,"",1
"Fatty acid biosynthesis",100,1860,2,0,1,"",1
"Fatty acid degradation",100,1860,4,0,1,"",1
"Fatty acid elongation",100,1860,2,0,1,"",1
"Fc epsilon RI signaling pathway",100,1860,14,0,1,"",1
"Ferroptosis",100,1860,6,0,1,"",1
"Focal adhesion",100,1860,31,0,1,"",1
"Folate biosynthesis",100,1860,2,0,1,"",1
"FoxO signaling pathway",100,1860,22,0,1,"",1
"GABAergic synapse",100,1860,9,0,1,"",1
"Galactose metabolism",100,1860,3,0,1,"",1
"Gap junction",100,1860,8,0,1,"",1
"Gastric acid secretion",100,1860,8,0,1,"",1
"Glioma",100,1860,16,0,1,"",1
"Glucagon signaling pathway",100,1860,12,0,1,"",1
"Glutamatergic synapse",100,1860,12,0,1,"",1
"Glutathione metabolism",100,1860,3,0,1,"",1
"Glycerolipid metabolism",100,1860,4,0,1,"",1
"Glycerophospholipid metabolism",100,1860,14,0,1,"",1
"Glycine, serine and threonine metabolism",100,1860,2,0,1,"",1
"Glycolysis / Gluconeogenesis",100,1860,4,0,1,"",1
"Glycosaminoglycan biosynthesis",100,1860,10,0,1,"",1
"Glycosaminoglycan degradation",100,1860,3,0,1,"",1
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",100,1860,3,0,1,"",1
"Glyoxylate and dicarboxylate metabolism",100,1860,3,0,1,"",1
"GnRH signaling pathway",100,1860,15,0,1,"",1
"Graft-versus-host disease",100,1860,0,0,1,"",1
"Histidine metabolism",100,1860,1,0,1,"",1
"Homologous recombination",100,1860,3,0,1,"",1
"Hypertrophic cardiomyopathy (HCM)",100,1860,10,0,1,"",1
"IL-17 signaling pathway",100,1860,6,0,1,"",1
"Inflammatory mediator regulation of TRP channels",100,1860,17,0,1,"",1
"Influenza A",100,1860,19,0,1,"",1
"Insulin secretion",100,1860,6,0,1,"",1
"Insulin signaling pathway",100,1860,16,0,1,"",1
"Intestinal immune network for IgA production",100,1860,3,0,1,"",1
"Linoleic acid metabolism",100,1860,2,0,1,"",1
"Long-term depression",100,1860,8,0,1,"",1
"Long-term potentiation",100,1860,13,0,1,"",1
"Longevity regulating pathway",100,1860,11,0,1,"",1
